Esp;Trat;Rep;Idade;Alt
Sob;1;1;60;12.67
Sob;1;2;60;12.00
Sob;1;3;60;10.33
Sob;1;4;60;10.83
Sob;1;5;60;13.00
Sob;1;6;60;15.00
Sob;2;1;60;9.00
Sob;2;2;60;10.00
Sob;2;3;60;10.17
Sob;2;4;60;9.42
Sob;2;5;60;9.17
Sob;2;6;60;9.67
Sob;1;1;90;16.17
Sob;1;2;90;16.58
Sob;1;3;90;15.42
Sob;1;4;90;15.17
Sob;1;5;90;16.00
Sob;1;6;90;19.08
Sob;2;1;90;10.83
Sob;2;2;90;12.00
Sob;2;3;90;12.00
Sob;2;4;90;11.17
Sob;2;5;90;11.58
Sob;2;6;90;13.33
Sob;1;1;120;18.92
Sob;1;2;120;20.00
Sob;1;3;120;17.67
Sob;1;4;120;18.08
Sob;1;5;120;18.17
Sob;1;6;120;22.00
Sob;2;1;120;13.08
Sob;2;2;120;15.75
Sob;2;3;120;14.33
Sob;2;4;120;13.42
Sob;2;5;120;13.58
Sob;2;6;120;18.92
Sob;1;1;150;23.00
Sob;1;2;150;22.42
Sob;1;3;150;27.83
Sob;1;4;150;27.17
Sob;1;5;150;20.67
Sob;1;6;150;24.67
Sob;2;1;150;15.83
Sob;2;2;150;19.83
Sob;2;3;150;17.83
Sob;2;4;150;16.33
Sob;2;5;150;17.17
Sob;2;6;150;24.17
Far;1;1;30;13.42
Far;1;2;30;12.00
Far;1;3;30;10.67
Far;1;4;30;12.17
Far;1;5;30;11.00
Far;1;6;30;11.67
Far;2;1;30;10.50
Far;2;2;30;9.67
Far;2;3;30;11.67
Far;2;4;30;9.83
Far;2;5;30;8.50
Far;2;6;30;10.50
Far;1;1;60;16.92
Far;1;2;60;14.58
Far;1;3;60;15.33
Far;1;4;60;16.33
Far;1;5;60;15.17
Far;1;6;60;15.42
Far;2;1;60;14.50
Far;2;2;60;13.50
Far;2;3;60;15.75
Far;2;4;60;14.25
Far;2;5;60;13.08
Far;2;6;60;14.33
Far;1;1;90;19.83
Far;1;2;90;16.42
Far;1;3;90;15.58
Far;1;4;90;17.75
Far;1;5;90;16.83
Far;1;6;90;18.42
Far;2;1;90;18.67
Far;2;2;90;18.00
Far;2;3;90;18.92
Far;2;4;90;16.50
Far;2;5;90;17.42
Far;2;6;90;17.75
Far;1;1;120;23.50
Far;1;2;120;18.33
Far;1;3;120;18.67
Far;1;4;120;21.50
Far;1;5;120;21.50
Far;1;6;120;21.50
Far;2;1;120;23.17
Far;2;2;120;24.17
Far;2;3;120;25.50
Far;2;4;120;21.67
Far;2;5;120;24.00
Far;2;6;120;22.58
Sob;3;1;60;10.50
Sob;3;2;60;12.08
Sob;3;3;60;12.58
Sob;3;4;60;11.33
Sob;3;5;60;11.50
Sob;3;6;60;11.50
Sob;3;1;90;13.67
Sob;3;2;90;15.29
Sob;3;3;90;18.13
Sob;3;4;90;16.33
Sob;3;5;90;14.96
Sob;3;6;90;16.08
Sob;3;1;120;17.21
Sob;3;2;120;19.00
Sob;3;3;120;26.04
Sob;3;4;120;22.29
Sob;3;5;120;19.21
Sob;3;6;120;21.79
Sob;3;1;150;23.88
Sob;3;2;150;25.58
Sob;3;3;150;36.21
Sob;3;4;150;30.67
Sob;3;5;150;26.04
Sob;3;6;150;28.54
Sob;4;1;60;3.60
Sob;4;2;60;3.17
Sob;4;3;60;3.88
Sob;4;4;60;4.30
Sob;4;5;60;3.54
Sob;4;6;60;3.42
Sob;4;1;90;4.60
Sob;4;2;90;4.20
Sob;4;3;90;5.35
Sob;4;4;90;5.65
Sob;4;5;90;3.71
Sob;4;6;90;3.71
Sob;4;1;120;7.70
Sob;4;2;120;6.26
Sob;4;3;120;11.05
Sob;4;4;120;9.21
Sob;4;5;120;6.63
Sob;4;6;120;7.33
Sob;4;1;150;13.90
Sob;4;2;150;19.33
Sob;4;3;150;17.70
Sob;4;4;150;17.79
Sob;4;5;150;13.42
Sob;4;6;150;12.71
Sob;5;1;60;17.17
Sob;5;2;60;13.42
Sob;5;3;60;13.33
Sob;5;4;60;14.33
Sob;5;5;60;16.13
Sob;5;6;60;14.00
Sob;5;1;90;20.13
Sob;5;2;90;19.25
Sob;5;3;90;19.71
Sob;5;4;90;18.71
Sob;5;5;90;22.04
Sob;5;6;90;19.25
Sob;5;1;120;23.58
Sob;5;2;120;25.79
Sob;5;3;120;26.58
Sob;5;4;120;24.63
Sob;5;5;120;29.21
Sob;5;6;120;25.67
Sob;5;1;150;31.75
Sob;5;2;150;38.71
Sob;5;3;150;39.00
Sob;5;4;150;36.00
Sob;5;5;150;41.42
Sob;5;6;150;37.50
Far;3;1;30;10.25
Far;3;2;30;10.92
Far;3;3;30;10.50
Far;3;4;30;12.04
Far;3;5;30;9.96
Far;3;6;30;11.29
Far;3;1;60;15.71
Far;3;2;60;23.08
Far;3;3;60;21.08
Far;3;4;60;21.29
Far;3;5;60;19.83
Far;3;6;60;19.42
Far;3;1;90;23.08
Far;3;2;90;31.25
Far;3;3;90;30.04
Far;3;4;90;26.92
Far;3;5;90;29.21
Far;3;6;90;25.46
Far;3;1;120;32.08
Far;3;2;120;42.50
Far;3;3;120;43.33
Far;3;4;120;38.58
Far;3;5;120;47.83
Far;3;6;120;37.17
Far;4;1;30;8.88
Far;4;2;30;8.38
Far;4;3;30;8.46
Far;4;4;30;7.88
Far;4;5;30;9.08
Far;4;6;30;8.83
Far;4;1;60;11.42
Far;4;2;60;11.52
Far;4;3;60;10.38
Far;4;4;60;10.13
Far;4;5;60;11.13
Far;4;6;60;11.71
Far;4;1;90;18.38
Far;4;2;90;18.23
Far;4;3;90;16.71
Far;4;4;90;14.13
Far;4;5;90;15.46
Far;4;6;90;18.38
Far;4;1;120;26.12
Far;4;2;120;30.43
Far;4;3;120;25.85
Far;4;4;120;24.21
Far;4;5;120;24.40
Far;4;6;120;27.62
Far;5;1;30;13.08
Far;5;2;30;12.71
Far;5;3;30;14.46
Far;5;4;30;12.17
Far;5;5;30;11.42
Far;5;6;30;12.63
Far;5;1;60;20.54
Far;5;2;60;19.08
Far;5;3;60;21.13
Far;5;4;60;19.33
Far;5;5;60;18.88
Far;5;6;60;19.33
Far;5;1;90;26.63
Far;5;2;90;24.63
Far;5;3;90;29.17
Far;5;4;90;26.25
Far;5;5;90;23.92
Far;5;6;90;25.25
Far;5;1;120;35.83
Far;5;2;120;32.42
Far;5;3;120;43.67
Far;5;4;120;37.50
Far;5;5;120;35.42
Far;5;6;120;36.79
